Boligtype & Adresse,Købesum,Dato & Type,m² & Kr. / m²,Vær.,Byggeår,Den procentuelle forskel mellem seneste udbudspris og salgsprisen %,Unnamed: 7
"VillaVVilla Grejsvang 71, Dalbyover  8970 Havndal",200.000 kr.,30-11-2025Alm. Salg,180 m² 1.111 kr/m²,6,1930,,Aktuel værdi
"VillaVVilla Springvandspladsen 14, Vester Hassing  9310 Vodskov",400.000 kr.,29-11-2025Alm. Salg,136 m² 2.941 kr/m²,4,1911,,Aktuel værdi
"VillaVVilla Sortbærvej 34, Kølkær  7400 Herning",930.000 kr.,29-11-2025Alm. Salg,125 m² 7.440 kr/m²,5,1985,,Aktuel værdi
"EjerlejlighedEEjerlejlighed Irma Pedersens Gade 69, 7. tv  8000 Aarhus C",3.676.000 kr.,29-11-2025Alm. Salg,97 m² 37.897 kr/m²,4,2019,,Aktuel værdi
"EjerlejlighedEEjerlejlighed Øresundsvej 23, 1. 1  2300 København S",3.700.000 kr.,29-11-2025Alm. Salg,103 m² 35.922 kr/m²,3,2007,,Aktuel værdi
"EjerlejlighedEEjerlejlighed Saksen C 4, 1. 2, Høje Taastrup  2630 Taastrup",2.500.000 kr.,29-11-2025Alm. Salg,116 m² 21.552 kr/m²,4,1972,,Aktuel værdi
VillaVVilla Skibbrogade 28  6200 Aabenraa,1.100.000 kr.,28-11-2025Alm. Salg,132 m² 8.333 kr/m²,5,1820,,Aktuel værdi
FritidshusFFritidshus Tranevej 18  4873 Væggerløse,2.375.000 kr.,28-11-2025Alm. Salg,110 m² 21.591 kr/m²,6,1942,-5%,Aktuel værdi
"VillaVVilla Nyrupvej 40, Grimsbjerg  5620 Glamsbjerg",600.000 kr.,27-11-2025Fam. Salg,104 m² 5.769 kr/m²,4,1951,,Aktuel værdi
VillaVVilla Søndergade 12  7760 Hurup Thy,228.000 kr.,27-11-2025Alm. Salg,132 m² 1.727 kr/m²,4,1907,,Aktuel værdi
"VillaVVilla Lodsvej 10, Skærbæk  7000 Fredericia",3.400.000 kr.,27-11-2025Alm. Salg,172 m² 19.767 kr/m²,5,1952,-3%,Aktuel værdi
VillaVVilla Ølbyvej 110  4600 Køge,2.195.000 kr.,27-11-2025Fam. Salg,121 m² 18.140 kr/m²,3,1914,,Aktuel værdi
VillaVVilla Sønderdalen 41  2870 Dyssegård,10.495.000 kr.,27-11-2025Alm. Salg,135 m² 77.741 kr/m²,4,1937,,Aktuel værdi
VillaVVilla Byskellet 72  6950 Ringkøbing,1.460.000 kr.,27-11-2025Alm. Salg,118 m² 12.373 kr/m²,4,1999,-3%,Aktuel værdi
